Family,Genus,Species,Common Locality,Average Light Score,Number of Collisions,Flight Call,Habitat,Stratum
Cardinalidae,Passerina,caerulea,MP,,1,yes,edge,upper
Cardinalidae,Passerina,cyanea,MP,8.268085106382978,725,yes,edge,upper
Cardinalidae,Pheucticus,ludovicianus,CHI,9.327868852459016,397,yes,forest,upper
Cardinalidae,Piranga,olivacea,CHI,7.987012987012987,127,yes,forest,upper
Cardinalidae,Piranga,rubra,CHI,9.142857142857142,9,yes,forest,upper
Certhiidae,Certhia,americana,CHI,9.525239883187318,2676,yes,forest,upper
Icteridae,Icteria,virens,MP,6.0,15,no,edge,lower
Icteridae,Icterus,galbula,CHI,7.254901960784314,83,yes,edge,upper
Icteridae,Icterus,spurius,MP,8.333333333333334,6,yes,edge,upper
Icteridae,Sturnella,magna,CHI,8.0,13,yes,open,lower
Laniidae,Lanius,excubitor,MP,16.0,1,no,open,upper
Mimidae,Dumetella,carolinensis,MP,10.11614730878187,599,no,edge,lower
Mimidae,Toxostoma,rufum,CHI,9.408333333333333,166,no,edge,lower
Parulidae,Cardellina,canadensis,CHI,8.412280701754385,241,yes,forest,lower
Parulidae,Cardellina,pusilla,CHI,11.923728813559322,185,yes,edge,lower
Parulidae,Geothlypis,formosa,MP,8.714285714285714,16,yes,forest,lower
Parulidae,Geothlypis,philadelphia,MP,10.822115384615385,430,yes,edge,lower
Parulidae,Geothlypis,trichas,MP,10.613434727503169,1555,yes,open,lower
Parulidae,Mniotilta,varia,CHI,10.84971098265896,620,yes,forest,upper
Parulidae,Oporornis,agilis,MP,13.476923076923077,365,yes,forest,lower
Parulidae,Oreothlypis,celata,CHI,11.071895424836601,227,yes,edge,lower
Parulidae,Oreothlypis,peregrina,CHI,11.960147148988352,2515,yes,edge,upper
Parulidae,Oreothlypis,ruficapilla,CHI,10.847372810675562,1690,yes,forest,upper
Parulidae,Parkesia,motacilla,MP,10.285714285714286,15,yes,forest,lower
Parulidae,Parkesia,noveboracensis,MP,10.818371607515658,916,yes,forest,lower
Parulidae,Protonotaria,citrea,MP,10.0,6,yes,forest,upper
Parulidae,Seiurus,aurocapilla,CHI,11.014281279105868,4580,yes,forest,lower
Parulidae,Setophaga,americana,CHI,10.0,59,yes,forest,upper
Parulidae,Setophaga,caerulescens,CHI,12.052238805970148,183,yes,forest,upper
Parulidae,Setophaga,castanea,CHI,12.911111111111111,287,yes,forest,upper
Parulidae,Setophaga,cerulea,CHI,5.0,3,yes,forest,upper
Parulidae,Setophaga,citrina,MP,10.0,5,yes,forest,upper
Parulidae,Setophaga,coronata,MP,12.14,887,yes,forest,upper
Parulidae,Setophaga,fusca,CHI,9.682119205298013,201,yes,forest,upper
Parulidae,Setophaga,magnolia,CHI,11.79976717112922,1224,yes,forest,upper
Parulidae,Setophaga,palmarum,MP,11.786570743405276,694,yes,edge,lower
Parulidae,Setophaga,pensylvanica,CHI,11.187793427230046,303,yes,edge,upper
Parulidae,Setophaga,petechia,MP,9.916666666666666,77,yes,edge,upper
Parulidae,Setophaga,pinus,CHI,10.652173913043478,49,yes,forest,upper
Parulidae,Setophaga,ruticilla,CHI,12.253205128205128,868,yes,edge,upper
Parulidae,Setophaga,striata,CHI,11.812844036697248,787,yes,forest,upper
Parulidae,Setophaga,tigrina,CHI,11.556603773584905,182,yes,forest,upper
Parulidae,Setophaga,virens,CHI,11.205882352941176,223,yes,forest,upper
Parulidae,Vermivora,chrysoptera,CHI,10.054054054054054,53,yes,edge,upper
Parulidae,Vermivora,cyanoptera,CHI,10.8,16,yes,edge,upper
Passerellidae,Ammodramus,henslowii,MP,9.5,9,yes,open,lower
Passerellidae,Ammodramus,leconteii,MP,14.4,25,yes,open,lower
Passerellidae,Ammodramus,nelsoni,MP,12.777777777777779,55,yes,open,lower
Passerellidae,Ammodramus,savannarum,MP,10.151515151515152,106,yes,open,lower
Passerellidae,Junco,hyemalis,MP,11.809162934894935,6303,yes,edge,lower
Passerellidae,Melospiza,georgiana,MP,11.10015408320493,4910,yes,open,lower
Passerellidae,Melospiza,lincolnii,MP,11.08675799086758,2029,yes,edge,lower
Passerellidae,Melospiza,melodia,MP,12.552784704904406,5124,yes,edge,lower
Passerellidae,Passerculus,sandwichensis,MP,13.410526315789474,274,yes,open,lower
Passerellidae,Passerella,iliaca,MP,12.082736674622117,2443,yes,edge,lower
Passerellidae,Pipilo,erythrophthalmus,MP,10.029411764705882,82,no,edge,lower
Passerellidae,Pooecetes,gramineus,MP,,10,yes,open,lower
Passerellidae,Spizella,pallida,MP,12.333333333333334,50,yes,open,lower
Passerellidae,Spizella,passerina,MP,8.84,68,yes,edge,lower
Passerellidae,Spizella,pusilla,MP,10.819672131147541,325,yes,open,lower
Passerellidae,Spizelloides,arborea,MP,12.294594594594594,1262,yes,edge,lower
Passerellidae,Zonotrichia,albicollis,CHI,10.180342768112178,10133,yes,forest,lower
Passerellidae,Zonotrichia,leucophrys,MP,11.53061224489796,1090,yes,edge,lower
Passerellidae,Zonotrichia,querula,MP,9.0,2,yes,edge,lower
Polioptilidae,Polioptila,caerulea,CHI,10.5,6,no,forest,upper
Regulidae,Regulus,calendula,CHI,9.534810126582279,416,no,forest,upper
Regulidae,Regulus,satrapa,CHI,10.092427616926503,1029,yes,forest,upper
Sittidae,Sitta,canadensis,CHI,11.854166666666666,260,yes,forest,upper
Troglodytidae,Cistothorus,palustris,MP,10.891304347826088,91,no,open,lower
Troglodytidae,Cistothorus,platensis,MP,11.228571428571428,60,no,open,lower
Troglodytidae,Troglodytes,aedon,CHI,9.626865671641792,104,no,edge,lower
Troglodytidae,Troglodytes,hiemalis,CHI,10.425,474,no,forest,lower
Turdidae,Catharus,fuscescens,MP,11.210727969348659,727,yes,forest,lower
Turdidae,Catharus,guttatus,CHI,10.643605870020965,3729,yes,forest,lower
Turdidae,Catharus,minimus,CHI,12.482105263157894,822,yes,forest,lower
Turdidae,Catharus,ustulatus,CHI,12.204068658614114,2331,yes,forest,lower
Turdidae,Hylocichla,mustelina,CHI,9.060402684563758,500,yes,forest,lower
Tyrannidae,Contopus,cooperi,CHI,8.666666666666666,4,no,edge,upper
Tyrannidae,Contopus,virens,MP,11.3125,70,no,forest,upper
